suhu,kelembaban,curah_hujan
21.4,96.0,5.937333333333332
22.5,90.93333333333334,5.0
23.2,82.8,9.040000000000001
23.0,86.63734126984127,0.0
23.1,88.1,6.833333333333334
22.2,86.1,27.089999999999996
21.7,85.6772619047619,0.0
22.6,90.1,2.7
21.5,92.6,60.8
21.4,96.0,5.937333333333332
21.3,94.7,22.16
22.3,94.1,63.3
22.3,90.5,0.5
21.8,85.67083333333333,0.0
22.3,89.8,19.5
20.7,94.7,6.6466666666666665
22.3,92.5,26.2
21.7,91.9,18.5
22.6,89.0,20.711666666666666
21.6,70.91,2.67
22.3,84.23722943722944,0.2
22.1,84.23055708180709,0.0
21.4,93.9,4.7
22.669999999999998,88.9,23.0
21.79,93.1,19.9
21.3,95.0,23.5
21.1,93.4,56.5
21.98,93.8,13.5
21.0,95.0,58.0
20.6,96.4,10.6
21.1,93.6,35.4
21.9,86.10176431411725,0.0
21.82,94.1,69.5
21.4,96.0,5.937333333333332
22.1,91.9,13.0
22.9,90.16666666666666,1.7
22.1,86.0,0.0
22.0,88.0,0.0
21.4,94.7,5.0
22.6,87.8,24.5
22.2,86.1,27.089999999999996
22.9,83.02,0.0
21.9,90.0,14.408035714285713
21.7,91.7,51.8
20.7,97.3,1.5
21.4,96.0,5.937333333333332
21.4,96.0,5.937333333333332
21.2,90.0,7.5
21.6,94.9,31.0
22.3,88.9,1.5
21.7,94.0,25.8
21.7,94.1,17.5
20.4,94.0,24.0
20.8,88.8,2.5
20.8,95.2,12.6
20.9,94.0,25.689999999999998
21.5,91.0,22.86142857142857
21.6,90.0,10.0
21.1,94.0,2.0
21.3,94.0,7.8
22.4,86.0,25.2
22.7,88.0,14.5
22.550833333333333,93.1,1.0
24.0,79.0,0.0
22.1,84.23055708180709,0.0
22.3,87.0,1.8
23.919999999999998,84.1,6.0
22.1,84.23055708180709,0.0
22.8,88.0,4.259285714285714
22.550833333333333,93.1,1.0
23.5,82.0,0.26
21.9,90.0,0.0
22.669999999999998,88.9,23.0
22.9,88.0,4.5
22.1,84.23055708180709,0.0
22.3,92.0,32.60409126984128
21.0,95.0,4.6
22.160000000000004,90.9,39.4
22.4,90.0,3.0
22.1,84.23055708180709,0.0
22.0,93.0,29.3
22.4,93.0,14.5
20.2,98.0,14.5
22.9,94.0,2.5
21.400000000000002,92.3,12.0
22.0,94.0,13.4
21.740000000000002,94.2,34.2
21.4,94.0,50.5
21.3,95.0,40.0
22.1,84.23055708180709,0.0
23.3,93.0,43.355
21.7,94.0,9.0
21.78,93.2,50.1
23.3,87.0,31.0
22.1,84.23055708180709,0.0
21.8,90.0,9.274880952380954
23.1,86.0,0.1
20.4,96.0,25.03213636363636
22.8,89.0,61.5
23.820000000000004,85.9,3.7
23.3,86.0,33.0
22.4,90.0,12.0
22.5,91.0,16.3
22.1,92.0,14.7
21.4,93.0,20.3
22.089999999999996,93.6,36.0
21.5,94.0,3.9
21.9,93.0,48.0
22.6,90.0,18.2
22.3,92.0,91.5
19.4,96.0,60.0
22.1,92.0,19.9
21.94,93.8,64.0
23.5,86.0,49.0
21.699999999999996,93.9,1.6
25.039999999999996,83.8,1.8
21.34,94.3,22.5
21.4,89.0,11.2
23.1,88.0,13.5
22.940000000000005,88.5,15.7
20.9,96.0,9.0
22.9,88.0,30.5
22.1,84.23055708180709,0.0
22.1,84.23055708180709,0.0
22.8,88.0,1.0
22.4,90.0,0.0
21.7,92.0,0.0
21.6,94.0,25.0
23.2,88.0,4.983333333333333
22.1,84.23055708180709,0.0
22.9,88.0,18.0
22.0,90.0,1.4
22.57,92.1,19.4
22.9,83.0,19.4
