TANGGAL,TAVG,RH_AVG,RR
23-09-2022,24.9,,0
24-09-2022,23.2,,0
25-09-2022,,,0
26-09-2022,23.8,,
27-09-2022,21.5,,
28-09-2022,22.6,,
29-09-2022,23.1,76,0
30-09-2022,22.3,,2
1/10/2022,21.1,,4
2/10/2022,22,,11.4
3/10/2022,22.1,90,7.5
4/10/2022,21.7,,64.5
5/10/2022,22.1,,7.5
6/10/2022,22.1,,8888
7/10/2022,22.1,,26
8/10/2022,23,,15.8
9/10/2022,23.8,,0
10/10/2022,23.6,,6
11/10/2022,21,,8888
12/10/2022,21.8,,28.5
13-10-2022,21.6,,12.8
15-10-2022,22.1,,20.9
16-10-2022,22,94,35
17-10-2022,22.1,,
18-10-2022,20.8,,2
19-10-2022,21.7,92,4.9
20-10-2022,,,2
21-10-2022,21.7,,30.6
22-10-2022,21.6,,
23-10-2022,21.8,,
24-10-2022,21.7,94,1.6
25-10-2022,22.2,92,
26-10-2022,21.2,,1.5
27-10-2022,21,,24.9
28-10-2022,20.9,90,0
29-10-2022,,,0
30-10-2022,21.9,,0
31-10-2022,21.5,,
1/11/2022,21.4,,
2/11/2022,22.5,,5
3/11/2022,23.2,,8888
4/11/2022,23,,
5/11/2022,23.1,,
6/11/2022,22.2,,
7/11/2022,21.7,,
8/11/2022,22.6,,2.7
9/11/2022,21.5,,60.8
10/11/2022,21.4,,
11/11/2022,21.3,,
12/11/2022,22.3,,63.3
13-11-2022,22.3,,0.5
14-11-2022,21.8,,0
15-11-2022,22.3,,19.5
16-11-2022,20.7,,
17-11-2022,22.3,,26.2
18-11-2022,21.7,,18.5
20-11-2022,22.6,,
21-11-2022,21.6,,
22-11-2022,22.3,,0.2
23-11-2022,,,0
24-11-2022,21.4,,4.7
25-11-2022,,,23
26-11-2022,,,19.9
27-11-2022,21.3,95,23.5
28-11-2022,21.1,,56.5
29-11-2022,,,13.5
30-11-2022,21,95,58
1/12/2022,20.6,,10.6
2/12/2022,21.1,,35.4
3/12/2022,21.9,,0
4/12/2022,,,69.5
5/12/2022,21.4,,
6/12/2022,22.1,,13
7/12/2022,22.9,,1.7
8/12/2022,22.1,86,0
9/12/2022,22,88,0
10/12/2022,21.4,,5
11/12/2022,22.6,,24.5
12/12/2022,22.2,,
13-12-2022,22.9,,0
14-12-2022,21.9,90,8888
15-12-2022,21.7,,51.8
16-12-2022,20.7,,1.5
17-12-2022,21.4,,
18-12-2022,21.4,,8888
19-12-2022,21.2,90,8888
20-12-2022,21.6,,31
21-12-2022,22.3,,1.5
22-12-2022,21.7,94,25.8
23-12-2022,21.7,,17.5
24-12-2022,20.4,94,24
25-12-2022,20.8,,2.5
26-12-2022,20.8,,12.6
27-12-2022,20.9,,
28-12-2022,21.5,91,8888
29-12-2022,21.6,90,10
30-12-2022,21.1,94,2
31-12-2022,21.3,,7.8
1/1/2023,22.4,86,25.2
2/1/2023,22.7,88,14.5
3/1/2023,,,1
4/1/2023,24,79,
5/1/2023,,,
6/1/2023,22.3,87,1.8
7/1/2023,,,6
8/1/2023,,,
9/1/2023,22.8,88,
10/1/2023,,,1
11/1/2023,23.5,82,
12/1/2023,21.9,90,0
13-01-2023,,,23
14-01-2023,22.9,88,4.5
15-01-2023,,,
16-01-2023,22.3,92,
17-01-2023,21,95,4.6
18-01-2023,,,39.4
19-01-2023,22.4,90,3
20-01-2023,,,
21-01-2023,22,93,29.3
22-01-2023,22.4,93,14.5
23-01-2023,20.2,98,14.5
24-01-2023,22.9,94,2.5
25-01-2023,,,12
26-01-2023,22,94,13.4
27-01-2023,,,34.2
28-01-2023,21.4,94,50.5
29-01-2023,21.3,95,40
30-01-2023,,,
31-01-2023,23.3,93,
1/2/2023,21.7,94,9
2/2/2023,,,50.1
3/2/2023,23.3,87,31
4/2/2023,,,
5/2/2023,21.8,90,
6/2/2023,23.1,86,0.1
7/2/2023,20.4,96,8888
